no,id_wa,tanggal_daftar,nama_wilayah_adat,provinsi,kabupaten_kota,kecamatan,peta,status,kebijakan,url_detail
691,YldvdTFpRFVyd1U,19 Ags 2015,Wanua Kageroa,Sulawesi Tengah,POSO,Lore Barat,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/YldvdTFpRFVyd1U
692,VGlVcGExdlNVNU0,14 Nop 2012,Bahomotefe,Sulawesi Tengah,MOROWALI,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/VGlVcGExdlNVNU0
693,S1FnSW9IajY4bm8,15 Jul 2013,Punan Dulau,Kalimantan Utara,BULUNGAN,Sekatak,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/S1FnSW9IajY4bm8
694,WVBlc2xUUGhXZTQ,15 Jul 2013,Gadang,Kalimantan Selatan,KOTA BARU,Hampang,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/WVBlc2xUUGhXZTQ
695,N2VqM1B0Q1h6Tms,19 Ags 2015,Balai Pantai Uang,Kalimantan Selatan,HULU SUNGAI TENGAH,Hantakan,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/N2VqM1B0Q1h6Tms
696,WjNrb2s0WlNOLTQ,14 Nop 2012,Balai Limbur,Kalimantan Selatan,KOTA BARU,Hampang,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/WjNrb2s0WlNOLTQ
697,RUJ0RWRwR1pfQVk,19 Ags 2015,Loksado,Kalimantan Selatan,HULU SUNGAI SELATAN,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RUJ0RWRwR1pfQVk
698,Qms1aHFic2Zoemc,19 Ags 2015,Tamunih,Kalimantan Selatan,TANAH BUMBU,Kepayang,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Qms1aHFic2Zoemc
699,TWs5MlN0RGJONmM,15 Jul 2013,Karya Sepakat,Kalimantan Selatan,TANAH BUMBU,Mentiwe,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/TWs5MlN0RGJONmM
700,V3hENmp0cDBWOHM,15 Jul 2013,Batu Kambar,Kalimantan Selatan,HULU SUNGAI TENGAH,Batang alai timur,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/V3hENmp0cDBWOHM
701,RGFQOVg2VnBfaVk,15 Jul 2013,kampung Bangkalaan,Kalimantan Selatan,KOTA BARU,Kelompang Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RGFQOVg2VnBfaVk
702,TE9CanJRSDFJNTg,15 Jul 2013,Balai Uren,Kalimantan Selatan,BALANGAN,Halong,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/TE9CanJRSDFJNTg
703,Wmh6TVdLOE9wTkE,19 Ags 2015,Balai Papagaran,Kalimantan Selatan,HULU SUNGAI TENGAH,Hantakan,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Wmh6TVdLOE9wTkE
704,RldjSjBaeHdTOWc,28 Ags 2015,Lohak Talang 20 Patar,Riau,INDRAGIRI HULU,Rakit Kulum,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RldjSjBaeHdTOWc
705,WlJFTUJIUS1WMUE,28 Ags 2015,Luak Anak Talang,Riau,INDRAGIRI HULU,Batang Cinaku,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/WlJFTUJIUS1WMUE
706,a2tkTWhiOVBUR1U,28 Ags 2015,Talang Perigi,Riau,INDRAGIRI HULU,Rakit Kulim,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/a2tkTWhiOVBUR1U
707,V0xHMDZISy1ib28,19 Ags 2015,Luak Talang Pring Jaya,Riau,INDRAGIRI HULU,Rakit Kulim,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/V0xHMDZISy1ib28
