no,id_wa,tanggal_daftar,nama_wilayah_adat,provinsi,kabupaten_kota,kecamatan,peta,status,kebijakan,url_detail
786,Mk5ZMkhnM1VYM0k,08 Ags 2015,Kampong Pagar Merbau,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/Mk5ZMkhnM1VYM0k
787,SVBpemlqMGptOTg,08 Ags 2015,Kampong Lubuk Pakam,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/SVBpemlqMGptOTg
788,djRrVzVZRDY0UFU,08 Ags 2015,Kampong Bangun Rejo,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/djRrVzVZRDY0UFU
789,emRzcGtLeHltSlU,22 Apr 2012,Kampung Tadukan Raga,Sumatera Utara,DELI SERDANG,STM Hilir,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/emRzcGtLeHltSlU
790,STI4bkQ0emRmV0k,08 Ags 2015,Kampong Patumbak,Sumatera Utara,KOTA MEDAN,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/STI4bkQ0emRmV0k
791,QktmNUFQNVlFUEk,08 Ags 2015,Kampong Tembong,Sumatera Utara,KOTA MEDAN,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/QktmNUFQNVlFUEk
792,b3g2RzZZcXJ5eUE,08 Ags 2015,Kampong Denai,Sumatera Utara,KOTA MEDAN,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/b3g2RzZZcXJ5eUE
793,eHpIdkxoOEtnX3M,08 Ags 2015,Kampong Medan Area,Sumatera Utara,KOTA MEDAN,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/eHpIdkxoOEtnX3M
794,VUJTZnYwQVRIM1E,08 Ags 2015,Kampong Marendal,Sumatera Utara,KOTA MEDAN,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/VUJTZnYwQVRIM1E
795,ZG9MUDdWNHVncDg,08 Ags 2015,Kampong Baru,Sumatera Utara,KOTA MEDAN,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/ZG9MUDdWNHVncDg
796,XzZ5UVMzSnhFWWc,08 Ags 2015,Kampong Tanah Enam Ratus,Sumatera Utara,KOTA MEDAN,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/XzZ5UVMzSnhFWWc
797,T05lXzhHR1VTZ1k,08 Ags 2015,Kampong Rengas Pulau,Sumatera Utara,KOTA MEDAN,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/T05lXzhHR1VTZ1k
798,a1l6Mll3MGpZOEk,08 Ags 2015,Kampong Laut Dendang,Sumatera Utara,KOTA MEDAN,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/a1l6Mll3MGpZOEk
799,enhVclBnaGg2dkE,22 Apr 2012,Kampong Mabar,Sumatera Utara,KOTA MEDAN,Medan Deli,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/enhVclBnaGg2dkE
800,NUZ1QmlFc2hVN0E,07 Ags 2015,Kampong Tambak Bayan,Sumatera Utara,DELI SERDANG,Percut Seituan,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/NUZ1QmlFc2hVN0E
801,eW5qYzFoOU01OTA,08 Ags 2015,Kampong Sampali,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/eW5qYzFoOU01OTA
802,N2pCcE5WdWVKckk,22 Apr 2012,Kampung Klambir,Sumatera Utara,DELI SERDANG,Hamparan Perak,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/N2pCcE5WdWVKckk
803,V0wzRTY1WDBpUjg,08 Ags 2015,Kampong Klumpang,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/V0wzRTY1WDBpUjg
804,MTd2a1RpeFF4WFU,08 Ags 2015,Kampong Deli Tua,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/MTd2a1RpeFF4WFU
805,S0g0YkE4UGU1Vnc,08 Ags 2015,Kampong Kutalimbaru,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/S0g0YkE4UGU1Vnc
806,d1NXMWlwczJpZTg,07 Ags 2015,Kampong Klambir V,Sumatera Utara,DELI SERDANG,Hamparan Perak,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/d1NXMWlwczJpZTg
807,TlZyYWxOOVduYU0,08 Ags 2015,Kampong Sialang Muda Rusif,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/TlZyYWxOOVduYU0
808,NjloVkVabElsMVE,08 Ags 2015,Kampong Buluh Cina,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/NjloVkVabElsMVE
809,dzRvOFBDMFJTWDA,08 Ags 2015,Kampong Lama,Sumatera Utara,DELI SERDANG,-,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/dzRvOFBDMFJTWDA
810,NnR3TkQzZkVsRjA,08 Ags 2015,Kampong Binjai,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/NnR3TkQzZkVsRjA
811,c0pJOG1keDdVUjA,08 Ags 2015,Kampong Selesai,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/c0pJOG1keDdVUjA
812,WlV1SndCMDI1Mzg,08 Ags 2015,Kampong Sei Limbat,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/WlV1SndCMDI1Mzg
813,M1BVVHp3Ui15ZGs,08 Ags 2015,Kampong Batu Gajah,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/M1BVVHp3Ui15ZGs
814,RlRjTnpNWVkyN1E,08 Ags 2015,Kampong Cengkeh Turi,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RlRjTnpNWVkyN1E
815,NFRyblU0aVI2SEE,22 Apr 2012,Kampong Pertumbukan,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/NFRyblU0aVI2SEE
816,Y1hLTlZVTXBkdU0,22 Apr 2012,Kampong Pantai Gemi,Sumatera Utara,LANGKAT,Setabat,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Y1hLTlZVTXBkdU0
817,RVcxZERiVHBfSUE,14 Nop 2012,Kampong Durian Selemak,Sumatera Utara,LANGKAT,Wampu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RVcxZERiVHBfSUE
818,V21nY1ZzWVVLVU0,08 Ags 2015,Kampong Bingai,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/V21nY1ZzWVVLVU0
819,eHZpN2xkdy1CMGs,08 Ags 2015,Kampong Gohor,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/eHZpN2xkdy1CMGs
820,SkZ0Qnk3M2ZSMVU,08 Ags 2015,Kampong Ara Condong,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/SkZ0Qnk3M2ZSMVU
821,RVZHVllCWTZBUkk,08 Ags 2015,Kampong Stabat,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RVZHVllCWTZBUkk
822,aWMzYmZSMXF4SFU,08 Ags 2015,Kampong Nangka,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/aWMzYmZSMXF4SFU
823,U1RFdkY5WjhKdGM,08 Ags 2015,Kampong Paya Kangkong,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/U1RFdkY5WjhKdGM
824,Zml4ODBDN1BIekE,08 Ags 2015,Kampong Hinai,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Zml4ODBDN1BIekE
825,TS0yMzUwUFpqaGs,08 Ags 2015,Kampong Telok,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/TS0yMzUwUFpqaGs
826,OU1ZQ0xpb1E4dTA,08 Ags 2015,Kampong Cinta Raja,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/OU1ZQ0xpb1E4dTA
827,V1hjWm1Ucm5LSlk,08 Ags 2015,Kampong Kwala Besar,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/V1hjWm1Ucm5LSlk
828,QmJLWm9jX3JWVGM,08 Ags 2015,Kampong Karang Gading,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/QmJLWm9jX3JWVGM
829,TXN0TE5nT0R3WGM,08 Ags 2015,Kampong Jaring Halus,Sumatera Utara,LANGKAT,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/TXN0TE5nT0R3WGM
830,R0ZMaUV2Q2RvVFk,12 Ags 2015,Wet Sokong,Nusa Tenggara Barat,LOMBOK UTARA,Tanjung,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/R0ZMaUV2Q2RvVFk
831,anpoRjNZdThuaGs,12 Ags 2015,Wet Pengorong Amor-amor,Nusa Tenggara Barat,LOMBOK UTARA,Kayangan,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/anpoRjNZdThuaGs
832,MTVfUmxjY0RVaHc,23 Nop 2013,Gubuk Bebekeq,Nusa Tenggara Barat,LOMBOK UTARA,Gangga,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/MTVfUmxjY0RVaHc
833,a1praV9CeDZiVDg,12 Ags 2015,Krama Adat Sembalun Bumbung,Nusa Tenggara Barat,LOMBOK TIMUR,Sembalun,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/a1praV9CeDZiVDg
834,eS1FVWs2eDlUdGs,12 Ags 2015,Kemangkuan Adat Tanak Sembalun,Nusa Tenggara Barat,LOMBOK TIMUR,Sembalun,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/eS1FVWs2eDlUdGs
835,ck9Bb0V0UVRvbGc,09 Mei 2013,Usal Ponto AI Padeng,Nusa Tenggara Barat,SUMBAWA,"Lopok, Lape, Marongge",Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/ck9Bb0V0UVRvbGc
836,cUMwUGZKYl9Kd3M,15 Jul 2013,Negeri Tananahu,Maluku,MALUKU TENGAH,Teluk Elpaputih,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/cUMwUGZKYl9Kd3M
837,ZDBmanNVbVc2dzA,25 Apr 2012,Haruku (Haru-Ukui Pelasona Nanuroko),Maluku,MALUKU TENGAH,Pulau Haruku,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/ZDBmanNVbVc2dzA
838,M3ZyNmZNbGVrd0k,14 Nop 2012,Onggari,Papua,MERAUKE,"Distrik Malid, Kurik",Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/M3ZyNmZNbGVrd0k
839,UTFlUnRLS096dTA,14 Nop 2012,Kaiburse,Papua,MERAUKE,"Distrik Malind, Kurik",Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/UTFlUnRLS096dTA
840,UVpINnZLZHlldEE,14 Nop 2012,Lembah Beringin Dayak Mentuka,Kalimantan Barat,SEKADAU,Nanga Mahap,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/UVpINnZLZHlldEE
841,bzY4MjM2bzJnckE,14 Nop 2012,Esania,Papua Barat,KAIMANA,Buruway,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/bzY4MjM2bzJnckE
842,LXlKVmtiUm5WNk0,14 Nop 2012,Tamang Dayak Koman,Kalimantan Barat,SEKADAU,NANGA MAHAP,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/LXlKVmtiUm5WNk0
843,UXd1c1hUbUhNWGM,14 Jul 2013,Kampung Jerajau,Kalimantan Barat,SEKADAU,Sekadau Hilir,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/UXd1c1hUbUhNWGM
844,Y2JaRFhwRU00QkE,16 Mei 2012,Dusun Ampar Dayak Mualang,Kalimantan Barat,SEKADAU,Sekadau Hilir,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Y2JaRFhwRU00QkE
845,cWFnbTRMNUlHQUE,16 Mei 2012,Engkersik Batu Lebur,Kalimantan Barat,SEKADAU,Sekadau Hilir,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/cWFnbTRMNUlHQUE
846,ZTRMV2JlSHVSN0U,07 Jul 2012,Kampung Merah Arai,Kalimantan Barat,SINTANG,Kayan Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/ZTRMV2JlSHVSN0U
847,ZjdJeVd6aDZTWkE,07 Jul 2012,Kampung Pelembak/Pintas,Kalimantan Barat,SINTANG,Kayan Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/ZjdJeVd6aDZTWkE
848,V3E3aTJiaFhRNVU,07 Jul 2012,Kampung Pandau,Kalimantan Barat,SINTANG,Kayan Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/V3E3aTJiaFhRNVU
849,VGowQUtTdzVfMmM,07 Jul 2012,Kampung Melaban Pedini,Kalimantan Barat,SINTANG,Kayan Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/VGowQUtTdzVfMmM
850,R0tYOE1xNWR2SkE,09 Jul 2012,Kampung Manaluk,Kalimantan Barat,SINTANG,Kayan Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/R0tYOE1xNWR2SkE
851,WXYydURJekM0WkU,08 Jul 2012,Kampung Gemare/Pengonsah,Kalimantan Barat,SINTANG,Kayan Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/WXYydURJekM0WkU
852,SzFJRHlucHNtLWM,07 Jul 2012,Kampung Ng.Masau,Kalimantan Barat,SINTANG,Kayan Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/SzFJRHlucHNtLWM
853,bXU3WllTRmtiYVE,24 Jun 2012,Kampung Nyelawai,Kalimantan Barat,SINTANG,Ketungau Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/bXU3WllTRmtiYVE
854,MXpFdzdRSXk3Z0E,30 Mei 2012,Kampung Mering,Kalimantan Barat,SINTANG,Ambalau,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/MXpFdzdRSXk3Z0E
855,dGVRSmZhNHhCSDA,24 Nop 2012,Ngata Ntoli,Sulawesi Tengah,DONGGALA,Banawa Selatan,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/dGVRSmZhNHhCSDA
856,d2Z6M0ZBUHJzZWM,04 Jun 2012,Kampung Buntut Purun,Kalimantan Barat,SINTANG,Ambalau,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/d2Z6M0ZBUHJzZWM
857,YXNNV3MtdHdoclk,22 Mei 2015,Ngata Pandehe,Sulawesi Tengah,SIGI,Gumbasa,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/YXNNV3MtdHdoclk
858,WkpSSUVyWDVjNk0,15 Jul 2013,Toriomog Sidole,Sulawesi Tengah,PARIGI MOUTONG,Ampibabo,Ada,Tersertifikasi,Tidak Ada,https://brwa.or.id/wa/view/WkpSSUVyWDVjNk0
859,SzJzY2tZRUNrUUk,27 Mei 2015,Ngata Lindu,Sulawesi Tengah,SIGI,Lindu,Ada,Tersertifikasi,Ada,https://brwa.or.id/wa/view/SzJzY2tZRUNrUUk
860,TE9wcXhWTDhIS2M,14 Nop 2012,Nggolo To Po Selena Bolonggima,Sulawesi Tengah,KOTA PALU,"-Ulujadi, Banawa selatan dan Banawa",Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/TE9wcXhWTDhIS2M
861,NDJsMkIwQ3ktV28,27 Mei 2015,Kampu Marantale,Sulawesi Tengah,PARIGI MOUTONG,Siniu,Ada,Tersertifikasi,Tidak Ada,https://brwa.or.id/wa/view/NDJsMkIwQ3ktV28
862,NEVYQ2hna1FKNWc,24 Mei 2015,Tampo Pekurehua Wanua Watutau,Sulawesi Tengah,POSO,Lore Peore,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/NEVYQ2hna1FKNWc
863,UUk4SWJ0ejVHSzg,23 Mei 2015,Ngata Kinovaro,Sulawesi Tengah,SIGI,"Kinovaro, Marawola Barat",Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/UUk4SWJ0ejVHSzg
864,VU53UDRRU29IRDQ,24 Nop 2012,Ngata Vugaga,Sulawesi Tengah,SIGI,Marawola Barat,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/VU53UDRRU29IRDQ
865,R1FydjhVOTdScWc,25 Apr 2012,Ngapa Kungguma,Sulawesi Tengah,DONGGALA,Labuan,Ada,Tersertifikasi,Tidak Ada,https://brwa.or.id/wa/view/R1FydjhVOTdScWc
866,NHJiQmVfQ2JfZmM,21 Okt 2014,Kampokng Terongin,Kalimantan Barat,SINTANG,Kayan Hilir,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/NHJiQmVfQ2JfZmM
867,Yi1VamtYVFZDMDA,21 Mei 2015,Ngata Pantapa,Sulawesi Tengah,SIGI,kinovaro,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/Yi1VamtYVFZDMDA
868,cGFDaUhpX3JpODg,14 Nop 2012,Wanua Wanga,Sulawesi Tengah,POSO,Lore Peore,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/cGFDaUhpX3JpODg
869,N0I1V29NSUN2WU0,24 Mei 2015,Ngata Ona,Sulawesi Tengah,SIGI,Marawola Barat,Ada,Tersertifikasi,Ada,https://brwa.or.id/wa/view/N0I1V29NSUN2WU0
870,cU1STTJnbG50S2c,13 Jul 2013,Ngata Vaenumpu,Sulawesi Tengah,SIGI,"Kinovaro, Ulujadi",Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/cU1STTJnbG50S2c
871,dUYyNmREOE1XUTA,14 Nop 2012,Ngata Mataue,Sulawesi Tengah,SIGI,Kulawi,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/dUYyNmREOE1XUTA
872,U2s5Tm12TnBhazQ,14 Nop 2012,Ngata Mabere,Sulawesi Tengah,SIGI,Marawola,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/U2s5Tm12TnBhazQ
873,RkN6bW5iT1pta0U,14 Nop 2012,Ngata Lumbulama,Sulawesi Tengah,DONGGALA,Banawa Selatan,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/RkN6bW5iT1pta0U
874,N0kzWXp4QzE4Zms,14 Nop 2012,Ngapa To Po Tara Vatutela,Sulawesi Tengah,KOTA PALU,Mantikulore,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/N0kzWXp4QzE4Zms
875,bHczbk9zTDUtaUE,14 Nop 2012,Salibo Anoi,Sulawesi Tengah,DONGGALA,Sindue,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/bHczbk9zTDUtaUE
876,RUhlSE5MUk5HZDQ,03 Jul 2015,Tapang Sambas - Tapang Kemayau,Kalimantan Barat,SEKADAU,SEKADAU HILIR,Tidak Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RUhlSE5MUk5HZDQ
877,X1hldTViRDVmU0U,22 Okt 2014,kampung Natai Mulan,Kalimantan Barat,SINTANG,Kayan Hilir,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/X1hldTViRDVmU0U
878,dHY2X01sUVAtTGs,12 Ags 2015,Wet Sesait,Nusa Tenggara Barat,LOMBOK UTARA,Kayangan,Ada,Tersertifikasi,Ada,https://brwa.or.id/wa/view/dHY2X01sUVAtTGs
879,enpaM19GWG1ESnc,14 Nop 2012,Kampung Cenayan,Kalimantan Barat,SEKADAU,Nanga Mahap,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/enpaM19GWG1ESnc
880,ZmZBSmJmMjhrVGM,02 Jun 2012,Kampung Meragun,Kalimantan Barat,SEKADAU,Nanga Taman,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/ZmZBSmJmMjhrVGM
881,dDgtcGNxTmJvazg,09 Feb 2013,Kampung Iloh,Kalimantan Barat,SEKADAU,Nanga Taman,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/dDgtcGNxTmJvazg
882,aVFXX092WkZDU00,03 Jun 2012,Kampung Perongkan,Kalimantan Barat,SEKADAU,Sekadau Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/aVFXX092WkZDU00
883,WGgwNVZDNUdZY1E,11 Mei 2012,Kampung Tempapau,Kalimantan Barat,SEKADAU,Sekadau Hilir,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/WGgwNVZDNUdZY1E
884,M1BBZzdHR1FfSEE,13 Mei 2012,Kampung Ensawak,Kalimantan Barat,SEKADAU,Sekadau Hilir,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/M1BBZzdHR1FfSEE
885,OHNyZTktU1lacFU,16 Mei 2012,Kampung Engkersik  Satu,Kalimantan Barat,SEKADAU,Sekadau Hilir,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/OHNyZTktU1lacFU
886,VDhaYS1keDBrM2c,15 Jul 2013,Kampung Bangan Baru,Kalimantan Barat,KAPUAS HULU,Silat Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/VDhaYS1keDBrM2c
887,UjgzX0pTT2hGekU,15 Jul 2013,Kampung Riam Tapang,Kalimantan Barat,KAPUAS HULU,Silat Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/UjgzX0pTT2hGekU
888,eEN0b1B2R1dyb2c,12 Okt 2012,Kampung Nanga Tiai,Kalimantan Barat,KAPUAS HULU,Silat Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/eEN0b1B2R1dyb2c
889,RXhLYkZXc0I5Vkk,15 Jul 2013,Kampung Nanga Selangkai,Kalimantan Barat,KAPUAS HULU,Silat Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/RXhLYkZXc0I5Vkk
890,dkF5YllQZkdCXzQ,15 Jul 2013,Kampung Nanga Pengga,Kalimantan Barat,KAPUAS HULU,Silat Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/dkF5YllQZkdCXzQ
891,VFNnVFJCLVJMN28,15 Jul 2013,Kampung Perjuk,Kalimantan Barat,KAPUAS HULU,Silat Hulu,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/VFNnVFJCLVJMN28
892,c2M4Z0FSLUdJRWc,18 Feb 2012,Ketemenggungan Sungkup Belaban Ella,Kalimantan Barat,MELAWI,MENUKUNG,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/c2M4Z0FSLUdJRWc
893,MV9WLXdJUjZ1MXc,15 Jul 2013,Laman  Bunyau,Kalimantan Barat,MELAWI,MENUKUNG,Ada,Tersertifikasi,Ada,https://brwa.or.id/wa/view/MV9WLXdJUjZ1MXc
894,TDA5aDAySGhja1E,30 Mei 2015,Wilayah Adat Pali,Sulawesi Selatan,TANA TORAJA,"Bittuang, Masanda",Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/TDA5aDAySGhja1E
895,QXFlZFB2ME1waXc,30 Mei 2015,Wilayah Adat Se'seng,Sulawesi Selatan,TANA TORAJA,Bittuang,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/QXFlZFB2ME1waXc
896,ODVEZGVFbTQtY2c,08 Jun 2015,Banga,Sulawesi Selatan,TANA TORAJA,Rembon,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/ODVEZGVFbTQtY2c
897,N3ZwZ2M5T1NUWG8,15 Jul 2013,Wanua Baringen,Sulawesi Selatan,ENREKANG,Maiwa,Ada,Tersertifikasi,Ada,https://brwa.or.id/wa/view/N3ZwZ2M5T1NUWG8
898,WmlBcnVpendEbWc,18 Feb 2013,Ba'tan,Sulawesi Selatan,KOTA PALOPO,Wara Barat,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/WmlBcnVpendEbWc
899,S2RrSnhMTlFPX2c,06 Jun 2015,Dusun Serawai Pasar Seluma,Bengkulu,SELUMA,Seluma Selatan,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/S2RrSnhMTlFPX2c
900,a3FVXzZubEJVcXM,12 Ags 2015,Kemangkuan Sajang,Nusa Tenggara Barat,LOMBOK TIMUR,Sembalun,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/a3FVXzZubEJVcXM
901,dGlCbVowbG5MWFE,01 Mar 2015,Marga Benakat,Sumatera Selatan,MUARA ENIM,"Benakat, Talang ubi, Sungai Keruh, Muara Lakitan",Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/dGlCbVowbG5MWFE
902,NTFRLWRhQlZvSFU,14 Nop 2012,Ngata Toro,Sulawesi Tengah,SIGI,Kulawi,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/NTFRLWRhQlZvSFU
903,eUpCYkVIbnRNdHM,14 Des 2012,Wewengkon Kasepuhan Cisitu,Banten,LEBAK,Cibeber,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/eUpCYkVIbnRNdHM
904,TDNuUkpOenRGblU,20 Mei 2015,Adat Besar Pa Kinayeh,Kalimantan Utara,MALINAU,Mentarang Hulu,Ada,Tersertifikasi,Ada,https://brwa.or.id/wa/view/TDNuUkpOenRGblU
905,V25IZzZISm44UW8,20 Mei 2015,Adat Besar Pujungan,Kalimantan Utara,MALINAU,Pujungan,Ada,Tersertifikasi,Ada,https://brwa.or.id/wa/view/V25IZzZISm44UW8
906,ekQ5dWxRWE5GTDA,20 Mei 2015,Lumbis Hulu,Kalimantan Utara,NUNUKAN,Lumbis Ogong,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/ekQ5dWxRWE5GTDA
907,UzFObUltelJHVzg,25 Mei 2015,Adat Besar Bahau Hulu,Kalimantan Utara,MALINAU,Bahau Hulu,Ada,Tersertifikasi,Ada,https://brwa.or.id/wa/view/UzFObUltelJHVzg
908,Y1VudzRMWFdXRms,08 Ags 2015,Kampung Karampuang,Sulawesi Selatan,SINJAI,Bulupoddo,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Y1VudzRMWFdXRms
909,N2pkUmUwTTRiLXc,06 Jun 2015,Kampung Soppeng Turungan,Sulawesi Selatan,SINJAI,Sinjai Barat,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/N2pkUmUwTTRiLXc
910,M0s0X1NnTUlrdmc,20 Mei 2015,Wilayah Adat Besar Tubu,Kalimantan Utara,MALINAU,Sungai Tubu,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/M0s0X1NnTUlrdmc
911,WDQybFROVDQ4UUk,23 Apr 2012,Lok Lahung Malaris,Kalimantan Selatan,HULU SUNGAI SELATAN,Loksado,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/WDQybFROVDQ4UUk
